"","x"
"1",0.432007530005649
"2",0.205158347729594
"3",0.0714416524861008
"4",0.934956387849525
"5",0.668348719133064
"6",0.0443929834291339
"7",0.621072929818183
"8",0.0261434230487794
"9",0.390348017448559
"10",0.483912004856393
"11",0.657977059949189
"12",0.541427361313254
"13",0.824955764925107
"14",0.455824084114283
"15",0.74920529150404
"16",0.381604432594031
"17",0.273566863965243
"18",0.692279047565535
"19",0.0894179637543857
"20",0.149525467539206
"21",0.286150061292574
"22",0.914850978879258
"23",0.117045794147998
"24",0.434308224124834
"25",0.700487039983273
"26",0.119970724917948
"27",0.588672552723438
"28",0.319790236419067
"29",0.430174636887386
"30",0.690857114270329
